day,month,year,x,y,data_source,data_source2,presence_absence,weights
30,4,2004,15.8375,-17.67639,ICOSAMP,controldata,1,0.999357017
30,4,2004,15.8375,-17.67639,ICOSAMP,controldata,1,0.999357017
6,2,2004,25.8078,-25.6382,ICOSAMP,controldata,0,0.992027005
1,4,2004,27.1949,-27.1306,ICOSAMP,controldata,1,0.972525853
1,4,2004,27.3052,-27.4644,ICOSAMP,controldata,1,0.984488024
17,1,2004,26.4008,-26.0249,ICOSAMP,controldata,0,0.986906519
17,1,2004,31.435596,-23.108944,EBIRD,gbifdata,1,0.767581579
12,6,2004,29.3286,-28.7306,ICOSAMP,controldata,0,0.971065745
6,4,2004,27.2965,-27.453,ICOSAMP,controldata,1,0.984488024
6,4,2004,28.8816,-24.4209,ICOSAMP,controldata,1,0.941421529
6,4,2004,28.8816,-24.4209,ICOSAMP,controldata,1,0.941421529
6,4,2004,28.8816,-24.4209,ICOSAMP,controldata,1,0.941421529
6,4,2004,28.8816,-24.4209,ICOSAMP,controldata,1,0.941421529
6,4,2004,29.1441,-24.8831,ICOSAMP,controldata,1,0.932567111
6,4,2004,29.1441,-24.8831,ICOSAMP,controldata,1,0.932567111
6,4,2004,29.1441,-24.8831,ICOSAMP,controldata,1,0.932567111
6,4,2004,29.1441,-24.8831,ICOSAMP,controldata,1,0.932567111
6,4,2004,27.2965,-27.453,ICOSAMP,controldata,1,0.984488024
22,5,2004,29.9994,-25.6941,ICOSAMP,controldata,0,0.927873332
22,5,2004,28.1375,-26.5879,ICOSAMP,controldata,0,0.758866596
21,12,2004,16.7481,-20.3033,EBIRD,gbifdata,0,0.979633499
21,12,2004,30.1835,-26.9514,ICOSAMP,controldata,0,0.899908911
15,6,2004,28.3055,-23.8883,ICOSAMP,controldata,0,0.971767182
9,2,2004,30.1481,-22.866,ICOSAMP,controldata,0,0.897751019
21,5,2004,28.9838,-24.024,ICOSAMP,controldata,0,0.950667095
21,5,2004,28.0028,-28.8544,ICOSAMP,controldata,0,0.983443176
21,5,2004,26.6522,-25.1376,ICOSAMP,controldata,0,0.906913533
31,1,2004,27.1203,-24.6719,ICOSAMP,controldata,0,0.929673686
8,2,2004,29.304,-24.306,ICOSAMP,controldata,0,0.902159353
24,1,2004,28.9333,-27.9612,ICOSAMP,controldata,0,0.970435127
15,11,2004,29.497,-23.2906,EBIRD,gbifdata,0,0.892139527
15,11,2004,28.9457,-27.4436,ICOSAMP,controldata,0,0.953804113
5,6,2004,26.6546,-29.1769,ICOSAMP,controldata,0,0.993007555
15,4,2004,28.8805,-24.4975,ICOSAMP,controldata,1,0.942354061
15,4,2004,28.8805,-24.4975,ICOSAMP,controldata,1,0.942354061
15,4,2004,28.8805,-24.4975,ICOSAMP,controldata,1,0.942354061
15,4,2004,28.8805,-24.4975,ICOSAMP,controldata,1,0.942354061
19,12,2004,18.8902,-16.037,EBIRD,gbifdata,0,1
19,12,2004,26.1292,-26.5142,ICOSAMP,controldata,0,0.973044156
11,2,2004,28.8673,-25.1846,ICOSAMP,controldata,0,0.615463752
30,5,2004,29.3746,-23.4621,ICOSAMP,controldata,0,0.971694115
26,2,2004,26.8119,-26.024,ICOSAMP,controldata,0,0.948783896
28,4,2004,27.2542,-27.4534,ICOSAMP,controldata,1,0.984488024
7,2,2004,28.7895,-28.3928,ICOSAMP,controldata,0,0.986912608
29,4,2004,27.1943,-27.1685,ICOSAMP,controldata,1,0.972525853
29,4,2004,27.2671,-27.0843,ICOSAMP,controldata,1,0.97010127
15,2,2004,27.7639,-27.5346,ICOSAMP,controldata,0,0.957909315
27,4,2004,28.565,-28.7659,ICOSAMP,controldata,0,0.965712908
4,3,2004,27.5775,-27.3748,ICOSAMP,controldata,1,0.970620603
20,4,2004,29.3367,-28.773,ICOSAMP,controldata,0,0.968581491
6,3,2004,27.4786,-27.7081,ICOSAMP,controldata,1,0.993818591
9,3,2004,27.5775,-27.3748,ICOSAMP,controldata,1,0.970620603
9,3,2004,27.6309,-27.7159,ICOSAMP,controldata,1,0.993000248
9,3,2004,27.4169,-27.1413,ICOSAMP,controldata,1,0.962787333
9,3,2004,27.3632,-27.3838,ICOSAMP,controldata,1,0.970818444
